pair_id,dna_length,single_mutants_theoretical,double_mutants_theoretical,double_mutants_written
9C0F_3_1,35,105,5355,5355
4E54_1_3,24,72,2484,2484
4E5Z_1_3,24,72,2484,2484
1TUP_3_1,21,63,1890,1890
4KPY_1_2,21,63,1890,1890
1D66_3_1,19,57,1539,1539
1B3T_2_1,18,54,1377,1377
1O3T_3_2,17,51,1224,1224
8XIH_1_3,16,48,1080,1080
1O3Q_3_2,15,45,945,945
1O3R_3_2,15,45,945,945
1O3S_3_2,15,45,945,945
4JBM_1_2,12,36,594,594
8TAC_1_2,11,33,495,495
1WVL_2_1,10,30,405,405
1BNZ_2_1,8,24,252,252
