pair_id,target,single_mut,double_mut,gc_matched_random,random_dna
9C0F_3_1,1,105,5355,1000,1000
4E54_1_3,1,72,2484,1000,1000
4E5Z_1_3,1,72,2484,1000,1000
1TUP_3_1,1,63,1890,1000,1000
4KPY_1_2,1,63,1890,1000,1000
1D66_3_1,1,57,1539,1000,1000
1B3T_2_1,1,54,1377,1000,1000
1O3T_3_2,1,51,1224,1000,1000
8XIH_1_3,1,48,1080,1000,1000
1O3Q_3_2,1,45,945,1000,1000
1O3R_3_2,1,45,945,1000,1000
1O3S_3_2,1,45,945,1000,1000
4JBM_1_2,1,36,594,1000,1000
8TAC_1_2,1,33,495,1000,1000
1WVL_2_1,1,30,405,1000,1000
1BNZ_2_1,1,24,252,1000,1000
