natural_protein_id,protein_name,n_rows,n_unique_8mers,n_rc_classes,n_missing_rc_classes,n_duplicate_rows,n_experiments,n_replicate_groups,dna_qc_pass,rc_qc_pass,has_protein_sequence,sequence_confidence,quality_level,quality_reason,training_candidate
UniPROBE:DEV12:Abd-B,Abd-B,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Bap,Bap,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Eve,Eve,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Lbl,Lbl,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Msh,Msh,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Ptx1,Ptx1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Six4,Six4,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Slou,Slou,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Tin,Tin,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:DEV12:Ubx,Ubx,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Abf1,Abf1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Cad1,Cad1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Cin5,Cin5,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Cst6,Cst6,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Ecm22,Ecm22,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Gcr1,Gcr1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Hac1,Hac1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Hap1,Hap1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Hmlalpha2,Hmlalpha2,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
