protein_id,metric,spearman,n_sequences,reference_definition,notes
DBP1,hamming_similarity_to_target_7mer,0.0057877594040173065,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP1,edit_similarity_to_target_7mer,0.011950300450357608,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP1,kmer3_jaccard_to_target_7mer,0.005084311655488011,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP1,kmer4_jaccard_to_target_7mer,0.043920271988262385,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP3,hamming_similarity_to_target_7mer,0.0006900363328225401,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP3,edit_similarity_to_target_7mer,0.008279547816638337,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP3,kmer3_jaccard_to_target_7mer,0.017604150383607672,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP3,kmer4_jaccard_to_target_7mer,0.023310452176959918,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP35,hamming_similarity_to_target_7mer,-0.0492338338714426,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP35,edit_similarity_to_target_7mer,-0.03726642811860246,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP35,kmer3_jaccard_to_target_7mer,-0.017119309984016305,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP35,kmer4_jaccard_to_target_7mer,-0.004941898670589787,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP48,hamming_similarity_to_target_7mer,0.21642122048077078,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP48,edit_similarity_to_target_7mer,0.22059605099092408,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP48,kmer3_jaccard_to_target_7mer,0.08729594803557773,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP48,kmer4_jaccard_to_target_7mer,0.0479334032371657,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP5,hamming_similarity_to_target_7mer,0.017614442083422152,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP5,edit_similarity_to_target_7mer,0.02650350642258728,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP5,kmer3_jaccard_to_target_7mer,0.06251754524731278,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP5,kmer4_jaccard_to_target_7mer,0.045289884655829296,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP6,hamming_similarity_to_target_7mer,0.05253834608118042,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP6,edit_similarity_to_target_7mer,0.07408827868056085,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP6,kmer3_jaccard_to_target_7mer,0.0755855909918998,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP6,kmer4_jaccard_to_target_7mer,0.09360953557315062,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP9,hamming_similarity_to_target_7mer,0.08125616034103039,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP9,edit_similarity_to_target_7mer,0.0835111383790574,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP9,kmer3_jaccard_to_target_7mer,0.03611678682757423,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
DBP9,kmer4_jaccard_to_target_7mer,0.0861819300012806,16384,max similarity to any overlapping 7-mer from the intended target DNA,Per-protein sequence-only baseline; not protein-conditioned prediction.
