protein_id,checkpoint_name,repr_layer,embedding_dim,raw_sequence_length,embedded_sequence_length,n_noncanonical_replaced_with_X,n_truncated_residues,protein_lm_frozen,notes
DBP1,esm2_t12_35M_UR50D,12,480,58,58,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
DBP3,esm2_t12_35M_UR50D,12,480,58,58,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
DBP35,esm2_t12_35M_UR50D,12,480,63,63,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
DBP48,esm2_t12_35M_UR50D,12,480,65,65,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
DBP5,esm2_t12_35M_UR50D,12,480,63,63,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
DBP6,esm2_t12_35M_UR50D,12,480,56,56,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
DBP9,esm2_t12_35M_UR50D,12,480,56,56,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Abd-B,esm2_t12_35M_UR50D,12,480,493,493,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Bap,esm2_t12_35M_UR50D,12,480,382,382,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Eve,esm2_t12_35M_UR50D,12,480,376,376,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Lbl,esm2_t12_35M_UR50D,12,480,294,294,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Msh,esm2_t12_35M_UR50D,12,480,515,515,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Ptx1,esm2_t12_35M_UR50D,12,480,509,509,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Six4,esm2_t12_35M_UR50D,12,480,392,392,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Slou,esm2_t12_35M_UR50D,12,480,659,659,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Tin,esm2_t12_35M_UR50D,12,480,416,416,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:DEV12:Ubx,esm2_t12_35M_UR50D,12,480,389,389,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Abf1,esm2_t12_35M_UR50D,12,480,731,731,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Cad1,esm2_t12_35M_UR50D,12,480,409,409,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Cin5,esm2_t12_35M_UR50D,12,480,295,295,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Cst6,esm2_t12_35M_UR50D,12,480,587,587,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Ecm22,esm2_t12_35M_UR50D,12,480,814,814,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Gcr1,esm2_t12_35M_UR50D,12,480,785,785,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Hac1,esm2_t12_35M_UR50D,12,480,238,238,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Hap1,esm2_t12_35M_UR50D,12,480,456,456,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
